type,vessel_flag,offset_bucket,count
LonglineLogsheet,SB,-12,2
LonglineLogsheet,SB,-11,1
LonglineLogsheet,SB,10,4
LonglineLogsheet,SB,11,622
LonglineLogsheet,SB,12,215
LonglineLogsheet,SB,13,63
LonglineLogsheet,TO,-11,111
LonglineLogsheet,TO,9,5
LonglineLogsheet,TO,11,9
LonglineLogsheet,TO,12,16
LonglineLogsheet,TO,13,542
LonglineLogsheet,TO,14,1
LonglineLogsheet,TV,12,51
LonglineLogsheet,TV,13,53
LonglineLogsheet,TV,14,1
LonglineLogsheet,TW,-13,17
LonglineLogsheet,TW,-12,1
LonglineLogsheet,TW,-11,44
LonglineLogsheet,TW,-6,1
LonglineLogsheet,TW,0,1
LonglineLogsheet,TW,8,1
LonglineLogsheet,TW,9,6
LonglineLogsheet,TW,10,1
LonglineLogsheet,TW,11,378
LonglineLogsheet,TW,12,251
LonglineLogsheet,TW,13,4863
LonglineLogsheet,TW,14,12
LonglineLogsheet,US,13,18
LonglineLogsheet,VU,-13,2
LonglineLogsheet,VU,-12,51
LonglineLogsheet,VU,-11,125
LonglineLogsheet,VU,-10,167
LonglineLogsheet,VU,-9,212
LonglineLogsheet,VU,-8,2
LonglineLogsheet,VU,-5,2
LonglineLogsheet,VU,-2,1
LonglineLogsheet,VU,0,1
LonglineLogsheet,VU,5,67
LonglineLogsheet,VU,9,2
LonglineLogsheet,VU,10,106
LonglineLogsheet,VU,11,186
LonglineLogsheet,VU,12,606
LonglineLogsheet,VU,13,185
LonglineLogsheet,VU,14,200
LonglineLogsheet,WS,-11,136
LonglineLogsheet,WS,-10,2
LonglineLogsheet,WS,11,67
LonglineLogsheet,WS,12,107
LonglineLogsheet,WS,13,222
LonglineLogsheet,WS,14,10
PurseseineLogsheet,CK,-12,27
PurseseineLogsheet,CK,-11,823
PurseseineLogsheet,CK,-10,208
PurseseineLogsheet,CK,-9,13
PurseseineLogsheet,CK,-8,18
PurseseineLogsheet,CK,-7,16
PurseseineLogsheet,CK,-6,16
PurseseineLogsheet,CK,-5,16
PurseseineLogsheet,CK,-4,1
PurseseineLogsheet,CK,0,1
PurseseineLogsheet,CK,11,1
PurseseineLogsheet,CK,12,3
PurseseineLogsheet,CK,13,86
PurseseineLogsheet,CK,14,6
PurseseineLogsheet,CN,-12,31
PurseseineLogsheet,CN,0,1
PurseseineLogsheet,CN,8,1
PurseseineLogsheet,CN,9,12
PurseseineLogsheet,CN,10,43
PurseseineLogsheet,CN,11,144
PurseseineLogsheet,CN,12,1004
PurseseineLogsheet,CN,13,2
PurseseineLogsheet,CN,14,1
PurseseineLogsheet,EC,-12,6
PurseseineLogsheet,EC,-11,12
PurseseineLogsheet,EC,-10,455
PurseseineLogsheet,EC,-9,822
PurseseineLogsheet,EC,-8,321
PurseseineLogsheet,EC,-7,284
PurseseineLogsheet,EC,-6,192
PurseseineLogsheet,EC,-5,211
PurseseineLogsheet,EC,-4,1
PurseseineLogsheet,EC,-3,1
PurseseineLogsheet,EC,0,46
PurseseineLogsheet,EC,1,2
PurseseineLogsheet,EC,5,10
PurseseineLogsheet,EC,6,37
PurseseineLogsheet,EC,7,30
PurseseineLogsheet,EC,8,13
PurseseineLogsheet,EC,9,7
PurseseineLogsheet,EC,10,8
PurseseineLogsheet,EC,11,18
PurseseineLogsheet,EC,12,118
PurseseineLogsheet,EC,13,8
PurseseineLogsheet,EC,14,109
PurseseineLogsheet,ES,-12,11
PurseseineLogsheet,ES,-11,380
PurseseineLogsheet,ES,-10,480
PurseseineLogsheet,ES,-9,115
PurseseineLogsheet,ES,-8,67
PurseseineLogsheet,ES,-7,64
PurseseineLogsheet,ES,-6,69
PurseseineLogsheet,ES,-5,54
PurseseineLogsheet,ES,0,2
PurseseineLogsheet,ES,5,1
PurseseineLogsheet,ES,6,1
PurseseineLogsheet,ES,11,2
PurseseineLogsheet,ES,12,5
PurseseineLogsheet,ES,13,14
PurseseineLogsheet,ES,14,86
PurseseineLogsheet,FM,-13,1
PurseseineLogsheet,FM,-12,106
PurseseineLogsheet,FM,-11,91
PurseseineLogsheet,FM,-10,31
PurseseineLogsheet,FM,-9,1
PurseseineLogsheet,FM,-7,1
PurseseineLogsheet,FM,-6,2
PurseseineLogsheet,FM,-3,1
PurseseineLogsheet,FM,-2,1
PurseseineLogsheet,FM,-1,8
PurseseineLogsheet,FM,0,10
PurseseineLogsheet,FM,1,4
PurseseineLogsheet,FM,2,1
PurseseineLogsheet,FM,3,2
PurseseineLogsheet,FM,5,1
PurseseineLogsheet,FM,6,3
PurseseineLogsheet,FM,7,12
PurseseineLogsheet,FM,8,323
PurseseineLogsheet,FM,9,3287
PurseseineLogsheet,FM,10,3359
PurseseineLogsheet,FM,11,11663
PurseseineLogsheet,FM,12,9281
PurseseineLogsheet,FM,13,2780
PurseseineLogsheet,FM,14,443
PurseseineLogsheet,JP,-12,38
PurseseineLogsheet,JP,-11,2
PurseseineLogsheet,JP,-9,2
PurseseineLogsheet,JP,-3,3
PurseseineLogsheet,JP,-2,1
PurseseineLogsheet,JP,-1,1
PurseseineLogsheet,JP,3,1
PurseseineLogsheet,JP,4,1
PurseseineLogsheet,JP,5,1
PurseseineLogsheet,JP,6,3
PurseseineLogsheet,JP,7,14
PurseseineLogsheet,JP,8,220
PurseseineLogsheet,JP,9,19080
PurseseineLogsheet,JP,10,1102
PurseseineLogsheet,JP,11,395
PurseseineLogsheet,JP,12,710
PurseseineLogsheet,JP,13,161
PurseseineLogsheet,JP,14,100
PurseseineLogsheet,KI,-13,2
PurseseineLogsheet,KI,-12,221
PurseseineLogsheet,KI,-11,46
PurseseineLogsheet,KI,-10,36
PurseseineLogsheet,KI,-9,2
PurseseineLogsheet,KI,-8,1
PurseseineLogsheet,KI,-6,1
PurseseineLogsheet,KI,-4,1
PurseseineLogsheet,KI,-2,1
PurseseineLogsheet,KI,-1,1
PurseseineLogsheet,KI,1,2
PurseseineLogsheet,KI,2,6
PurseseineLogsheet,KI,6,2
PurseseineLogsheet,KI,7,9
PurseseineLogsheet,KI,8,187
PurseseineLogsheet,KI,9,447
PurseseineLogsheet,KI,10,2730
PurseseineLogsheet,KI,11,5443
PurseseineLogsheet,KI,12,21311
PurseseineLogsheet,KI,13,4034
PurseseineLogsheet,KI,14,1378
PurseseineLogsheet,KR,-13,2
PurseseineLogsheet,KR,-12,132
PurseseineLogsheet,KR,-11,17
PurseseineLogsheet,KR,-10,35
PurseseineLogsheet,KR,-8,3
PurseseineLogsheet,KR,-6,1
PurseseineLogsheet,KR,-1,3
PurseseineLogsheet,KR,0,3
PurseseineLogsheet,KR,1,1
PurseseineLogsheet,KR,2,3
PurseseineLogsheet,KR,6,1
PurseseineLogsheet,KR,7,5
PurseseineLogsheet,KR,8,11
PurseseineLogsheet,KR,9,963
PurseseineLogsheet,KR,10,4513
PurseseineLogsheet,KR,11,8300
PurseseineLogsheet,KR,12,9023
PurseseineLogsheet,KR,13,2671
PurseseineLogsheet,KR,14,1589
PurseseineLogsheet,LR,-12,1
PurseseineLogsheet,LR,9,11
PurseseineLogsheet,LR,10,256
PurseseineLogsheet,LR,11,482
PurseseineLogsheet,LR,12,499
PurseseineLogsheet,LR,13,224
PurseseineLogsheet,LR,14,9
PurseseineLogsheet,MH,-12,109
PurseseineLogsheet,MH,-11,24
PurseseineLogsheet,MH,-10,8
PurseseineLogsheet,MH,-8,1
PurseseineLogsheet,MH,-6,1
PurseseineLogsheet,MH,-2,1
PurseseineLogsheet,MH,0,5
PurseseineLogsheet,MH,6,2
PurseseineLogsheet,MH,7,6
PurseseineLogsheet,MH,8,83
PurseseineLogsheet,MH,9,80
PurseseineLogsheet,MH,10,430
PurseseineLogsheet,MH,11,1288
PurseseineLogsheet,MH,12,9657
PurseseineLogsheet,MH,13,682
PurseseineLogsheet,MH,14,93
PurseseineLogsheet,MX,-11,81
PurseseineLogsheet,MX,-10,3
PurseseineLogsheet,MX,12,11
PurseseineLogsheet,NR,-12,372
PurseseineLogsheet,NR,-11,505
PurseseineLogsheet,NR,-10,170
PurseseineLogsheet,NR,-9,56
PurseseineLogsheet,NR,-8,42
PurseseineLogsheet,NR,-7,1
PurseseineLogsheet,NR,-2,1
PurseseineLogsheet,NR,-1,11
PurseseineLogsheet,NR,0,5
PurseseineLogsheet,NR,1,1
PurseseineLogsheet,NR,5,3
PurseseineLogsheet,NR,6,4
PurseseineLogsheet,NR,7,4
PurseseineLogsheet,NR,8,180
PurseseineLogsheet,NR,9,202
PurseseineLogsheet,NR,10,1781
PurseseineLogsheet,NR,11,7173
PurseseineLogsheet,NR,12,9842
PurseseineLogsheet,NR,13,1178
PurseseineLogsheet,NR,14,106
PurseseineLogsheet,PG,-13,1
PurseseineLogsheet,PG,-12,180
PurseseineLogsheet,PG,-11,658
PurseseineLogsheet,PG,-10,258
PurseseineLogsheet,PG,-9,192
PurseseineLogsheet,PG,-8,30
PurseseineLogsheet,PG,-7,11
PurseseineLogsheet,PG,-6,5
PurseseineLogsheet,PG,-5,4
PurseseineLogsheet,PG,-4,2
PurseseineLogsheet,PG,-3,2
PurseseineLogsheet,PG,-2,4
PurseseineLogsheet,PG,-1,2
PurseseineLogsheet,PG,0,7
PurseseineLogsheet,PG,1,4
PurseseineLogsheet,PG,2,6
PurseseineLogsheet,PG,4,4
PurseseineLogsheet,PG,6,6
PurseseineLogsheet,PG,7,12
PurseseineLogsheet,PG,8,435
PurseseineLogsheet,PG,9,3835
PurseseineLogsheet,PG,10,45741
PurseseineLogsheet,PG,11,7629
PurseseineLogsheet,PG,12,5696
PurseseineLogsheet,PG,13,927
PurseseineLogsheet,PG,14,288
PurseseineLogsheet,PH,-12,2
PurseseineLogsheet,PH,-10,1
PurseseineLogsheet,PH,6,4
PurseseineLogsheet,PH,7,4
PurseseineLogsheet,PH,8,1277
PurseseineLogsheet,PH,9,21146
PurseseineLogsheet,PH,10,2662
PurseseineLogsheet,PH,11,270
PurseseineLogsheet,PH,12,763
PurseseineLogsheet,PH,13,161
PurseseineLogsheet,PH,14,8
PurseseineLogsheet,SB,-13,1
PurseseineLogsheet,SB,-12,61
PurseseineLogsheet,SB,-11,125
PurseseineLogsheet,SB,-9,1
PurseseineLogsheet,SB,-1,4
PurseseineLogsheet,SB,0,7
PurseseineLogsheet,SB,1,6
PurseseineLogsheet,SB,2,2
PurseseineLogsheet,SB,3,1
PurseseineLogsheet,SB,4,5
PurseseineLogsheet,SB,6,2
PurseseineLogsheet,SB,7,3
PurseseineLogsheet,SB,8,44
PurseseineLogsheet,SB,9,95
PurseseineLogsheet,SB,10,1064
PurseseineLogsheet,SB,11,10844
PurseseineLogsheet,SB,12,2100
PurseseineLogsheet,SB,13,616
PurseseineLogsheet,SB,14,158
PurseseineLogsheet,SV,-12,3
PurseseineLogsheet,SV,-11,7
PurseseineLogsheet,SV,-10,141
PurseseineLogsheet,SV,-9,120
PurseseineLogsheet,SV,-8,64
PurseseineLogsheet,SV,-7,67
PurseseineLogsheet,SV,-6,55
PurseseineLogsheet,SV,-5,12
PurseseineLogsheet,SV,6,1
PurseseineLogsheet,SV,10,10
PurseseineLogsheet,SV,12,6
PurseseineLogsheet,SV,13,7
PurseseineLogsheet,SV,14,73
PurseseineLogsheet,TV,-14,1
PurseseineLogsheet,TV,-12,70
PurseseineLogsheet,TV,-11,33
PurseseineLogsheet,TV,-10,3
PurseseineLogsheet,TV,1,2
PurseseineLogsheet,TV,2,2
PurseseineLogsheet,TV,6,1
PurseseineLogsheet,TV,7,2
PurseseineLogsheet,TV,8,49
PurseseineLogsheet,TV,9,116
PurseseineLogsheet,TV,10,1440
PurseseineLogsheet,TV,11,2886
PurseseineLogsheet,TV,12,4583
PurseseineLogsheet,TV,13,1170
PurseseineLogsheet,TV,14,561
PurseseineLogsheet,TW,-12,118
PurseseineLogsheet,TW,-11,2
PurseseineLogsheet,TW,-10,2
PurseseineLogsheet,TW,-7,1
PurseseineLogsheet,TW,-4,1
PurseseineLogsheet,TW,-3,1
PurseseineLogsheet,TW,1,1
PurseseineLogsheet,TW,2,2
PurseseineLogsheet,TW,4,1
PurseseineLogsheet,TW,6,1
PurseseineLogsheet,TW,7,9
PurseseineLogsheet,TW,8,128
PurseseineLogsheet,TW,9,107
PurseseineLogsheet,TW,10,1840
PurseseineLogsheet,TW,11,4409
PurseseineLogsheet,TW,12,7886
PurseseineLogsheet,TW,13,418
PurseseineLogsheet,TW,14,119
PurseseineLogsheet,US,-14,1
PurseseineLogsheet,US,-12,814
PurseseineLogsheet,US,-11,5275
PurseseineLogsheet,US,-10,3072
PurseseineLogsheet,US,-9,1001
PurseseineLogsheet,US,-8,426
PurseseineLogsheet,US,-7,317
PurseseineLogsheet,US,-6,216
PurseseineLogsheet,US,-5,169
PurseseineLogsheet,US,-4,6
PurseseineLogsheet,US,-3,28
PurseseineLogsheet,US,-2,5
PurseseineLogsheet,US,-1,2
PurseseineLogsheet,US,0,12
PurseseineLogsheet,US,1,2
PurseseineLogsheet,US,3,3
PurseseineLogsheet,US,5,1
PurseseineLogsheet,US,6,1
PurseseineLogsheet,US,7,21
PurseseineLogsheet,US,8,46
PurseseineLogsheet,US,9,48
PurseseineLogsheet,US,10,332
PurseseineLogsheet,US,11,715
PurseseineLogsheet,US,12,1139
PurseseineLogsheet,US,13,981
PurseseineLogsheet,US,14,1100
PurseseineLogsheet,VU,-12,79
PurseseineLogsheet,VU,-11,221
PurseseineLogsheet,VU,-10,11
PurseseineLogsheet,VU,-6,1
PurseseineLogsheet,VU,-5,1
PurseseineLogsheet,VU,-1,44
PurseseineLogsheet,VU,0,3
PurseseineLogsheet,VU,1,2
PurseseineLogsheet,VU,5,1
PurseseineLogsheet,VU,8,1
PurseseineLogsheet,VU,9,21
PurseseineLogsheet,VU,10,41
PurseseineLogsheet,VU,11,498
PurseseineLogsheet,VU,12,1241
PurseseineLogsheet,VU,13,526
PurseseineLogsheet,VU,14,340
